rank,game,prize,players,tournaments,month,year
5,Free Fire,1820000.0,76,1,5,2022
6,Counter-Strike: Global Offensive,1539333.51,640,38,5,2022
7,Apex Legends,1009275.21,153,3,5,2022
8,Rocket League,931202.5,548,67,5,2022
9,Dota 2,901378.2,290,10,5,2022
10,Rainbow Six Siege,688662.88,193,9,5,2022
11,Identity V,620093.34,14,1,5,2022
12,PLAYERUNKNOWN’S BATTLEGROUNDS,504600.0,169,3,5,2022
13,Magic: The Gathering Arena,450000.0,8,1,5,2022
14,Call of Duty: Vanguard,426000.0,134,17,5,2022
15,League of Legends,416984.02,176,5,5,2022
16,Halo Infinite,355200.0,71,1,5,2022
17,Mobile Legends: Bang Bang,351222.56,228,4,5,2022
18,Teamfight Tactics,291000.0,32,1,5,2022
19,Hearthstone,253000.0,229,3,5,2022
20,VALORANT,248439.35,399,16,5,2022
21,StarCraft II,233641.55,104,34,5,2022
22,Call of Duty: Warzone,147097.44,67,11,5,2022
23,chess24,138250.0,16,1,5,2022
24,Age of Empires IV,129329.0,114,20,5,2022
25,Chess.com,100000.0,27,5,5,2022
26,Brawlhalla,77500.0,92,7,5,2022
27,Hearthstone Battlegrounds,50000.0,16,1,5,2022
28,Pokemon Unite,50000.0,77,2,5,2022
29,Age of Empires II,43146.95,143,32,5,2022
30,Super Smash Bros. Ultimate,32941.93,50,8,5,2022
31,Trackmania (2020),31585.75,60,17,5,2022
32,WarCraft III: Reforged,25649.5,24,9,5,2022
33,Clash of Clans,23200.0,42,3,5,2022
34,Tekken 7,22028.87,22,5,5,2022
35,Pokémon VGC,21000.0,28,3,5,2022
36,Street Fighter V: Champion Edition,20416.07,22,5,5,2022
37,Assetto Corsa,12599.75,20,2,5,2022
38,Guilty Gear -STRIVE-,10982.43,11,2,5,2022
39,King of Fighters XV,10804.12,12,2,5,2022
40,Farming Simulator 19,10434.0,21,1,5,2022
41,Diabotical,8504.65,49,15,5,2022
42,Onward,8000.0,34,1,5,2022
43,Echo Arena,5680.0,46,3,5,2022
44,Rezzil Player,5000.0,10,1,5,2022
45,Assetto Corsa Competizione,3500.0,60,3,5,2022
46,Dragon Ball FighterZ,3296.07,10,2,5,2022
47,Team Fortress 2,2460.0,12,1,5,2022
48,Age of Empires,2124.0,24,2,5,2022
49,Lichess,2000.0,9,2,5,2022
50,Pokémon GO,1900.0,8,1,5,2022
51,Mortal Kombat 11,1530.0,8,1,5,2022
52,Mario Kart 8 Deluxe,1500.0,12,2,5,2022
53,Minecraft,1500.0,4,1,5,2022
54,Quake Champions,1402.22,8,2,5,2022
55,Killer Instinct (2013),1336.58,8,1,5,2022
56,Street Fighter III: 3rd Strike,1130.0,8,1,5,2022
57,Windjammers 2,1056.07,3,56,5,2022
58,Auto Chess,1000.0,4,1,5,2022
59,Contractors,1000.0,20,1,5,2022
60,Gears 5,1000.0,8,2,5,2022
61,Lemnis Gate,1000.0,2,1,5,2022
62,Age of Mythology,900.0,12,4,5,2022
63,rFactor 2,749.0,3,1,5,2022
64,iRacing.com,500.0,1,1,5,2022
65,osu!,369.12,6,2,5,2022
66,Blaston,350.0,3,1,5,2022
67,Age of Empires III,110.0,4,1,5,2022
68,Age of Empires Online,70.0,1,1,5,2022
1,Counter-Strike: Global Offensive,2125841.3,693,43,6,2022
2,VALORANT,823694.34,446,13,6,2022
3,Call of Duty: Vanguard,636000.0,120,13,6,2022
4,PLAYERUNKNOWN’S BATTLEGROUNDS,530000.0,97,2,6,2022
5,Rocket League,447679.57,455,45,6,2022
6,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,437676.53,185,5,6,2022
7,Call of Duty: Mobile,420868.0,42,1,6,2022
8,Fortnite,349300.0,275,17,6,2022
9,Overwatch 2,330000.0,65,2,6,2022
10,World of WarCraft,320000.0,44,2,6,2022
11,Mobile Legends: Bang Bang,318474.52,67,2,6,2022
12,iRacing.com,208802.0,37,4,6,2022
13,StarCraft II,167046.78,92,26,6,2022
14,Brawlhalla,150200.0,43,5,6,2022
15,Pokemon Unite,100000.0,70,2,6,2022
16,Dota 2,98657.58,163,4,6,2022
17,Onmyoji Arena,89679.22,5,1,6,2022
18,Minecraft,76500.0,117,4,6,2022
19,Hearthstone,50949.0,20,3,6,2022
20,League of Legends,48490.05,30,2,6,2022
21,Rainbow Six Siege,44815.85,70,3,6,2022
22,Age of Empires II,44110.0,113,35,6,2022
23,Chess.com,40000.0,13,2,6,2022
24,Pokémon VGC,33500.0,36,2,6,2022
25,Assetto Corsa Competizione,30192.0,26,2,6,2022
26,WarCraft III: Reforged,27825.5,14,9,6,2022
27,StarCraft: Remastered,23871.94,34,1,6,2022
28,Super Smash Bros. Ultimate,23010.0,50,9,6,2022
29,Point Blank,16881.26,27,2,6,2022
30,Street Fighter V: Champion Edition,13290.0,19,4,6,2022
31,Assetto Corsa,12905.75,25,3,6,2022
32,Tekken 7,12323.6,18,5,6,2022
33,Call of Duty: Warzone,11964.8,17,3,6,2022
34,Age of Empires IV,11622.0,46,12,6,2022
35,Guilty Gear -STRIVE-,10590.0,14,2,6,2022
36,Apex Legends,10050.01,18,2,6,2022
37,Clash of Clans,9500.0,39,4,6,2022
38,King of Fighters XV,9360.0,15,2,6,2022
39,Trackmania (2020),8255.66,43,14,6,2022
40,Age of Empires,8004.0,18,2,6,2022
41,Diabotical,6533.99,36,12,6,2022
42,Legends of Runeterra,6000.0,12,1,6,2022
43,Rezzil Player,5000.0,10,1,6,2022
44,osu!,4779.27,26,2,6,2022
45,TrackMania Nations Forever,2500.0,4,1,6,2022
46,Super Smash Bros. Melee,2240.0,8,1,6,2022
