year,prize_year,tournaments,prize_pct_total,profile_link
2021,12562.72,1,2.2,/players/102883-fengjie-jiang-longhui
2022,517870.77,5,37.44,/players/69516-paraboy-zhu-bocheng
2021,483984.72,12,34.99,/players/69516-paraboy-zhu-bocheng
2020,292554.81,9,21.15,/players/69516-paraboy-zhu-bocheng
2019,88636.07,6,6.41,/players/69516-paraboy-zhu-bocheng
2022,517870.77,5,41.67,/players/69519-jimmy-xu-yinjun
2021,424681.22,8,34.17,/players/69519-jimmy-xu-yinjun
2020,212942.26,6,17.14,/players/69519-jimmy-xu-yinjun
2019,87210.07,5,7.02,/players/69519-jimmy-xu-yinjun
2022,517870.77,5,50.35,/players/89310-king-lin-yien
2021,308720.2,6,30.01,/players/89310-king-lin-yien
2020,201262.56,4,19.57,/players/89310-king-lin-yien
2019,713.0,1,0.07,/players/89310-king-lin-yien
2022,517870.77,5,71.91,/players/103943-qc-xu-jiajun
2021,202308.11,3,28.09,/players/103943-qc-xu-jiajun
2022,498408.6,10,12.74,/players/26665-ame-wang-chunyu
2021,1158680.0,8,29.61,/players/26665-ame-wang-chunyu
2020,44365.63,13,1.13,/players/26665-ame-wang-chunyu
2019,681941.2,7,17.43,/players/26665-ame-wang-chunyu
2018,1091935.92,11,27.91,/players/26665-ame-wang-chunyu
2017,392314.74,9,10.03,/players/26665-ame-wang-chunyu
2016,37542.78,8,0.96,/players/26665-ame-wang-chunyu
2015,7715.4,2,0.2,/players/26665-ame-wang-chunyu
2022,498408.6,10,13.23,/players/10712-y-zhang-yiping
2021,1158680.0,8,30.77,/players/10712-y-zhang-yiping
2020,59643.27,14,1.58,/players/10712-y-zhang-yiping
2019,72675.76,11,1.93,/players/10712-y-zhang-yiping
2018,11822.92,7,0.31,/players/10712-y-zhang-yiping
2017,29565.42,7,0.79,/players/10712-y-zhang-yiping
2016,1923676.32,14,51.08,/players/10712-y-zhang-yiping
2015,10221.28,2,0.27,/players/10712-y-zhang-yiping
2014,1293.71,3,0.03,/players/10712-y-zhang-yiping
2022,498408.6,10,26.87,/players/14833-xinq-zhao-zixing
2021,1158680.0,8,62.47,/players/14833-xinq-zhao-zixing
2020,59643.27,14,3.22,/players/14833-xinq-zhao-zixing
2019,35675.76,9,1.92,/players/14833-xinq-zhao-zixing
2018,76596.6,1,4.13,/players/14833-xinq-zhao-zixing
2017,3005.81,4,0.16,/players/14833-xinq-zhao-zixing
2016,4000.0,2,0.22,/players/14833-xinq-zhao-zixing
2015,18675.4,4,1.01,/players/14833-xinq-zhao-zixing
2022,498408.6,10,29.69,/players/42140-nothingtosay-cheng-jin-xiang
2021,1118780.0,6,66.63,/players/42140-nothingtosay-cheng-jin-xiang
2020,59643.27,14,3.55,/players/42140-nothingtosay-cheng-jin-xiang
2018,1561.6,3,0.09,/players/42140-nothingtosay-cheng-jin-xiang
2017,596.26,1,0.04,/players/42140-nothingtosay-cheng-jin-xiang
2022,388500.0,9,47.28,/players/22135-kenny-kenneth-williams
2021,54333.33,9,6.61,/players/22135-kenny-kenneth-williams
2020,73875.0,7,8.99,/players/22135-kenny-kenneth-williams
2019,141625.0,7,17.24,/players/22135-kenny-kenneth-williams
2018,139950.0,10,17.03,/players/22135-kenny-kenneth-williams
2017,20500.0,3,2.49,/players/22135-kenny-kenneth-williams
2015,2945.0,4,0.36,/players/22135-kenny-kenneth-williams
2022,388500.0,9,48.96,/players/15103-octane-sam-larew
2021,10000.0,3,1.26,/players/15103-octane-sam-larew
2020,3000.0,2,0.38,/players/15103-octane-sam-larew
2019,142750.0,9,17.99,/players/15103-octane-sam-larew
2018,75575.0,12,9.52,/players/15103-octane-sam-larew
2017,102125.0,13,12.87,/players/15103-octane-sam-larew
2016,50930.0,12,6.42,/players/15103-octane-sam-larew
2015,20568.75,9,2.59,/players/15103-octane-sam-larew
2022,388500.0,9,51.3,/players/22136-envoy-dylan-hannon
2021,93375.0,16,12.33,/players/22136-envoy-dylan-hannon
2020,168033.33,15,22.19,/players/22136-envoy-dylan-hannon
2019,103645.83,8,13.69,/players/22136-envoy-dylan-hannon
2018,780.0,2,0.1,/players/22136-envoy-dylan-hannon
2015,2945.0,4,0.39,/players/22136-envoy-dylan-hannon
2022,388500.0,9,77.16,/players/76978-drazah-zack-jordan
2021,47625.0,15,9.46,/players/76978-drazah-zack-jordan
2020,67400.0,11,13.39,/players/76978-drazah-zack-jordan
2022,383762.0,7,10.51,/players/5195-zai-ludwig-wahlberg
2021,744280.0,6,20.38,/players/5195-zai-ludwig-wahlberg
2020,203588.0,12,5.57,/players/5195-zai-ludwig-wahlberg
2019,624960.8,8,17.11,/players/5195-zai-ludwig-wahlberg
2018,308376.8,13,8.44,/players/5195-zai-ludwig-wahlberg
2017,214420.61,13,5.87,/players/5195-zai-ludwig-wahlberg
2016,540070.8,8,14.79,/players/5195-zai-ludwig-wahlberg
2015,300056.42,9,8.22,/players/5195-zai-ludwig-wahlberg
2014,312093.63,19,8.55,/players/5195-zai-ludwig-wahlberg
2013,10039.79,13,0.27,/players/5195-zai-ludwig-wahlberg
2012,10622.17,6,0.29,/players/5195-zai-ludwig-wahlberg
2022,383762.0,7,53.38,/players/12229-insania-aydin-sarkohi
2021,13460.0,5,1.87,/players/12229-insania-aydin-sarkohi
2020,82884.8,13,11.53,/players/12229-insania-aydin-sarkohi
2019,170569.4,15,23.73,/players/12229-insania-aydin-sarkohi
2018,15271.56,12,2.12,/players/12229-insania-aydin-sarkohi
